time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-02T16:23:55.650Z,-1.2229,120.5479,32.77,4.5,mb,,80,2.23,1.04,us,us20009jaf,2017-06-02T17:10:21.040Z,"24km NNW of Kasiguncu, Indonesia",earthquake,6.3,6.3,0.118,21,reviewed,us,us
2017-06-02T16:09:58.140Z,31.6625,46.127,32.85,4.4,mb,,77,6.569,0.92,us,us20009ja7,2017-06-03T01:14:39.233Z,"28km N of Ash Shatrah, Iraq",earthquake,8.7,6,0.093,33,reviewed,us,us
2017-06-02T16:00:56.000Z,18.9255,-66.6636,22,3,md,15,231,0.5859,0.24,pr,pr2017153007,2017-06-03T01:11:00.845Z,"50km N of Arecibo, Puerto Rico",earthquake,1.12,15.57,0.19,13,reviewed,pr,pr
2017-06-02T14:08:35.530Z,34.4156667,-85.5663333,13.19,2.58,md,16,147,0.1294,0.12,se,se60197121,2017-06-03T17:48:06.434Z,"14km ESE of Fort Payne, Alabama",earthquake,0.3,0.56,0.102,11,reviewed,se,se
2017-06-02T14:02:22.560Z,36.6851,-97.6743,7.03,3.1,mb_lg,,50,0.223,0.24,us,us20009j8h,2017-06-02T21:30:40.076Z,"14km SSE of Medford, Oklahoma",earthquake,1.4,7.1,0.05,106,reviewed,us,us
2017-06-02T11:13:10.000Z,-3.8151,129.3247,10,4.9,mb,,29,3.051,1.11,us,us20009j7j,2017-06-02T11:38:14.040Z,"69km SE of Amahai, Indonesia",earthquake,6.7,1.9,0.06,87,reviewed,us,us
2017-06-02T10:52:30.660Z,36.5978317,-120.5271683,23.84,2.57,md,4,158,0.2906,0,nc,nc72809351,2017-06-02T11:44:02.127Z,"21km SW of Mendota, California",earthquake,1.88,1.14,0.57,6,automatic,nc,nc
2017-06-02T10:15:59.110Z,31.5663,140.3191,116.44,4.5,mb,,75,1.602,1.03,us,us20009j7d,2017-06-02T10:46:55.040Z,"175km SSE of Hachijo-jima, Japan",earthquake,3.3,7,0.042,169,reviewed,us,us
2017-06-02T08:35:12.610Z,26.231,128.5817,10.24,4.3,mb,,86,0.663,1.07,us,us20009j6y,2017-06-02T08:53:14.040Z,"71km E of Haebaru, Japan",earthquake,6.2,5.8,0.137,15,reviewed,us,us
2017-06-02T08:08:35.150Z,33.869,-119.3798333,6.93,3,ml,49,89,0.2469,0.27,ci,ci37659863,2017-06-03T07:41:49.926Z,"22km SE of Santa Cruz Is. (E end), CA",earthquake,0.3,1.42,0.137,162,reviewed,ci,ci
2017-06-02T07:05:27.710Z,18.5331,-68.284,157,3.19,md,15,192,0.0993,0.38,pr,pr2017153000,2017-06-03T08:13:00.040Z,"15km SE of Punta Cana, Dominican Republic",earthquake,4.79,1.49,0.38,12,reviewed,pr,pr
2017-06-02T07:00:08.510Z,37.4152,-97.3823,1.48,2.5,mb_lg,,171,0.23,0.14,us,us20009j6n,2017-06-02T21:30:11.150Z,"9km WNW of Belle Plaine, Kansas",earthquake,1.8,5.8,0.077,44,reviewed,us,us
2017-06-02T06:48:36.010Z,17.9018,-101.9753,10,4.2,mb,,211,1.874,0.9,us,us20009j6i,2017-06-02T16:14:48.336Z,"18km WSW of La Union, Mexico",earthquake,6,2,0.083,40,reviewed,us,us
2017-06-02T06:39:55.300Z,35.6705,-97.398,5.479,2.5,ml,,30,,0.17,us,us20009j6f,2017-06-03T05:31:53.660Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,3.1,,,reviewed,tul,tul
2017-06-02T06:33:27.300Z,35.6675,-97.3907,5,2.5,ml,,36,,0.39,us,us20009j6b,2017-06-03T05:34:56.353Z,"8km ENE of Edmond, Oklahoma",earthquake,0.9,2.7,,,reviewed,tul,tul
2017-06-02T06:15:20.770Z,41.1836,47.5427,10,4.4,mb,,75,2.368,1.07,us,us20009j67,2017-06-03T01:20:45.718Z,"14km NNE of Oguz, Azerbaijan",earthquake,5.2,2,0.076,49,reviewed,us,us
2017-06-02T05:59:17.500Z,-1.2502,120.4902,10,5,mb,,81,2.29,1.35,us,us20009j64,2017-06-02T06:16:51.040Z,"26km NW of Kasiguncu, Indonesia",earthquake,6,1.9,0.075,57,reviewed,us,us
2017-06-02T05:36:52.700Z,36.4902,-98.728,5.597,2.5,ml,,30,,0.23,us,us20009j60,2017-06-03T06:57:34.668Z,"33km NW of Fairview, Oklahoma",earthquake,1.4,2.1,,,reviewed,tul,tul
2017-06-02T04:11:33.890Z,-34.8129,-70.4569,123.75,4.3,mb,,103,0.267,0.44,us,us20009j5v,2017-06-02T17:09:33.090Z,"55km ESE of Chimbarongo, Chile",earthquake,7.2,3.6,0.129,17,reviewed,us,us
2017-06-02T03:02:44.410Z,23.8907,-109.0479,10,4.6,mb,,106,0.846,1.16,us,us20009j5n,2017-06-02T05:13:16.784Z,"113km NE of San Jose del Cabo, Mexico",earthquake,6.8,1.9,0.033,268,reviewed,us,us
2017-06-02T02:29:32.680Z,44.7876667,-110.7748333,4.28,2.56,ml,11,199,0.05388,0.19,uu,uu60010579,2017-06-02T18:40:14.650Z,"29km ENE of West Yellowstone, Montana",earthquake,0.91,1.04,0.17,6,reviewed,uu,uu
2017-06-02T00:40:21.800Z,41.8111,132.095,512.42,4.2,mb,,33,2.388,0.56,us,us20009j4w,2017-06-03T23:37:16.040Z,"119km SSW of Putyatin, Russia",earthquake,11.2,7.3,0.032,272,reviewed,us,us
2017-06-01T23:45:38.800Z,-2.8434,130.1053,30.26,4.6,mb,,64,2.142,0.79,us,us20009j4j,2017-06-03T23:40:57.040Z,"142km ENE of Amahai, Indonesia",earthquake,3.8,5.3,0.082,44,reviewed,us,us
2017-06-01T22:56:06.850Z,38.8233337,-122.7643356,1.48,2.72,md,50,38,0.008353,0.05,nc,nc72809136,2017-06-02T06:38:48.084Z,"3km W of Cobb, California",earthquake,0.14,0.22,0.17,37,automatic,nc,nc
2017-06-01T22:55:54.880Z,28.9744,76.7797,10,4.7,mb,,69,5.545,0.76,us,us20009j48,2017-06-03T22:40:29.699Z,"12km NW of Kharkhauda, India",earthquake,8.3,1.8,0.045,150,reviewed,us,us
2017-06-01T22:54:24.670Z,-7.5212,129.3405,108.67,4.7,mb,,71,1.994,1.36,us,us20009j45,2017-06-01T23:41:55.040Z,"223km WNW of Saumlaki, Indonesia",earthquake,7.9,6.4,0.142,15,reviewed,us,us
2017-06-01T21:55:09.700Z,36.4715,-98.7472,7.959,3.1,ml,,43,,0.23,us,us10008xcl,2017-06-03T22:24:49.047Z,"32km NW of Fairview, Oklahoma",earthquake,2.6,6.5,,,reviewed,tul,tul
2017-06-01T21:06:08.100Z,36.4569,-98.7903,5.108,3.5,ml,,37,,0.4,us,us10008xbv,2017-06-03T22:23:27.648Z,"34km NW of Fairview, Oklahoma",earthquake,2.2,6.4,,,reviewed,tul,tul
2017-06-01T21:01:04.147Z,65.4333,-166.7861,15.4,3.8,ml,,,,0.66,ak,ak16155132,2017-06-04T01:09:06.040Z,"97km SSW of Shishmaref, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2017-06-01T20:04:10.450Z,-54.3856,158.992,10,5.2,mb,,129,9.581,0.64,us,us10008x9b,2017-06-01T20:23:06.040Z,"11km NNE of Macquarie Island, Australia",earthquake,8.9,1.7,0.113,26,reviewed,us,us
2017-06-01T20:03:36.899Z,65.4953,-166.7172,9.6,3.8,ml,,,,0.76,ak,ak16155111,2017-06-01T20:46:28.473Z,"89km SSW of Shishmaref, Alaska",earthquake,,1.9,,,reviewed,ak,ak
